,image_name,xmin,ymin,xmax,ymax,width,height
0,V006_77_0_00_11_01_13_0_c01_20201013_0000_S01.jpg,1864,2292,1516,1880,4032,3024
1,V006_77_0_00_11_01_13_0_c01_20201013_0000_S01_1.jpg,1722,2167,436,676,4032,3024
2,V006_77_0_00_11_01_13_0_c01_20201013_0001_S01.jpg,2150,2727,100,784,4032,3024
3,V006_77_0_00_11_01_13_0_c01_20201013_0001_S01_1.jpg,2147,2729,102,782,4032,3024
4,V006_77_0_00_11_01_13_0_c01_20201013_0002_S01.jpg,1979,2719,832,1462,4032,3024
5,V006_77_0_00_11_01_13_0_c01_20201013_0002_S01_1.jpg,1951,2719,831,1468,4032,3024
6,V006_77_0_00_11_01_13_0_c01_20201013_0003_S01.jpg,0,1472,872,1988,4032,3024
7,V006_77_0_00_11_01_13_0_c01_20201013_0003_S01_1.jpg,0,1476,876,1992,4032,3024
8,V006_77_0_00_11_01_13_0_c01_20201013_0004_S01.jpg,1336,1985,1364,1920,4032,3024
9,V006_77_0_00_11_01_13_0_c01_20201013_0004_S01_1.jpg,2646,3019,1435,1965,4032,3024
10,V006_77_0_00_11_01_13_0_c01_20201013_0005_S01.jpg,2150,2975,1240,1782,4032,3024
11,V006_77_0_00_11_01_13_0_c01_20201013_0005_S01_1.jpg,2151,2975,1243,1779,4032,3024
12,V006_77_0_00_11_01_13_0_c01_20201013_0006_S01.jpg,1644,2343,1324,1737,4032,3024
13,V006_77_0_00_11_01_13_0_c01_20201013_0006_S01_1.jpg,1613,2368,1323,1734,4032,3024
14,V006_77_0_00_11_01_13_0_c01_20201013_0007_S01.jpg,1882,2859,1197,1911,4032,3024
15,V006_77_0_00_11_01_13_0_c01_20201013_0007_S01_1.jpg,1884,2864,1200,1912,4032,3024
16,V006_77_0_00_11_01_13_0_c01_20201013_0008_S01.jpg,1553,2717,802,2023,4032,3024
17,V006_77_0_00_11_01_13_0_c01_20201013_0008_S01_1.jpg,1569,2725,802,2027,4032,3024
18,V006_77_0_00_11_01_13_0_c01_20201013_0009_S01.jpg,1779,2860,463,1448,4032,2268
19,V006_77_0_00_11_01_13_0_c01_20201013_0009_S01_1.jpg,1786,2842,471,1440,4032,2268
20,V006_77_0_00_11_01_13_0_c01_20201013_0010_S01.jpg,964,2648,881,1827,4032,2268
